#{"t_start": 1763162855.4718251, "env_id": "None"}
r,l,t
-30186.596092,6001,86.377526
-28931.952269,6001,166.912859
-32878.154963,6001,253.845887
-19596.578883,6001,334.13452
-28072.705195,6001,420.408967
-16791.480204,6001,502.618994
-21699.359483,6001,588.617861
-25778.719196,6001,668.949107
-39674.76016,6001,755.364516
-7405.477331,6001,836.117907
-9379.421542,6001,922.96084
-7645.155205,6001,1003.882903
-9551.82015,6001,1093.257999
-7292.345321,6001,1174.468706
-6230.109729,6001,1255.95862
-4418.587333,6001,1343.09057
-3875.868395,6001,1424.43099
-1524.387774,6001,1511.76534
-2920.208784,6001,1595.244316
-3350.755396,6001,1681.995017
-2722.202031,6001,1762.480214
-254.367728,6001,1848.73145
-2030.469211,6001,1929.553886
-973.624543,6001,2017.400295
-427.703082,6001,2099.496525
1200.360559,6001,2188.751396
1178.733923,6001,2269.720796
1630.610508,6001,2356.69044
154.221501,6001,2437.721545
1264.92608,6001,2518.612742
1674.338836,6001,2606.064873
