#{"t_start": 1762893371.7937915, "env_id": "None"}
r,l,t
-1042.861823,1001,10.572966
-1063.913319,1001,19.091199
-1067.115487,1001,29.138277
-1052.196799,1001,37.670218
-1052.863584,1001,48.393497
-1041.496187,1001,57.595181
-1049.390364,1001,67.929601
-1050.977261,1001,76.600014
-1040.7181,1001,86.911954
-1035.815033,1001,95.54487
-1036.15411,1001,105.774742
-1037.434017,1001,114.717178
-1027.84817,1001,124.669503
-1028.831906,1001,133.553403
-1038.621399,1001,143.827766
-1036.440403,1001,152.476123
-1013.722803,1001,162.723894
-992.956975,1001,171.426718
-1016.834453,1001,181.663184
-974.961018,1001,190.622214
-1008.671349,1001,200.59224
-960.938607,1001,209.531853
-1006.081194,1001,219.863823
-981.20694,1001,228.451254
-943.163901,1001,238.773376
-920.289944,1001,247.532047
-968.107215,1001,257.413912
-934.745376,1001,266.402696
-909.863382,1001,276.455447
-934.034779,1001,285.185681
-914.893125,1001,295.501604
-911.136469,1001,304.093178
-907.49637,1001,314.380579
-897.815407,1001,323.262717
-899.342763,1001,333.288171
-880.174419,1001,342.243975
-874.088064,1001,352.286297
-867.178283,1001,360.907311
-865.128385,1001,371.202224
-851.810499,1001,379.720517
-850.593135,1001,390.021348
-834.444662,1001,398.953794
-841.519991,1001,408.933139
-826.715011,1001,417.95745
-823.176579,1001,426.654311
-798.096074,1001,436.689509
-814.32776,1001,445.626146
-802.182375,1001,455.643702
-810.287522,1001,464.534408
-786.911296,1001,474.866433
-800.019123,1001,483.438868
-774.436732,1001,493.616744
-775.803122,1001,502.404255
-772.759015,1001,512.375278
-764.228945,1001,521.24646
-765.81884,1001,531.237828
-754.603416,1001,540.027503
-713.171611,1001,550.375465
-745.937554,1001,558.870089
-714.292708,1001,569.228726
-707.424445,1001,578.077745
-668.127407,1001,588.002028
-663.737145,1001,596.868847
-623.619745,1001,606.881753
-610.762599,1001,615.458751
-610.788062,1001,625.331776
-593.489244,1001,633.80505
-626.579951,1001,643.984496
-537.535677,1001,652.720808
-582.35214,1001,662.615239
-554.144115,1001,672.20085
-521.954729,1001,682.4333
-521.991746,1001,691.11242
-506.921533,1001,701.523391
-465.766777,1001,710.213988
-443.592362,1001,720.559297
-480.091052,1001,729.551047
-451.600875,1001,739.51732
-723.663559,1001,748.455165
-429.027067,1001,758.895849
-372.983539,1001,767.568644
-360.701386,1001,778.058993
-323.435749,1001,786.828718
-401.85671,1001,796.949496
-377.007962,1001,805.894059
-285.110403,1001,815.96066
-272.478491,1001,824.780933
-298.228249,1001,835.112001
-244.802675,1001,843.687525
-245.971802,1001,852.587671
-205.760881,1001,862.669813
-174.431173,1001,871.1862
-125.377978,1001,881.578461
-162.481424,1001,890.147999
-101.186199,1001,900.433656
-130.778724,1001,909.348165
-133.090882,1001,919.235257
-147.836213,1001,928.22931
-55.579691,1001,938.507967
-67.773443,1001,947.07515
-16.608337,1001,957.236945
-26.128863,1001,965.74316
-7.112999,1001,975.92584
-30.778338,1001,984.808594
-21.423702,1001,994.707018
22.961951,1001,1003.526759
53.316931,1001,1013.492122
72.993586,1001,1021.929698
68.313597,1001,1032.104689
65.593489,1001,1040.570752
101.029082,1001,1050.728347
94.139832,1001,1059.234422
138.015487,1001,1069.20558
124.723792,1001,1077.988245
118.099823,1001,1088.106393
95.641816,1001,1096.549588
167.098222,1001,1106.363556
214.849849,1001,1114.704344
138.383947,1001,1124.835603
141.521581,1001,1133.678178
199.784975,1001,1143.524204
133.916845,1001,1152.291102
191.046036,1001,1162.317798
212.178349,1001,1170.750949
249.350899,1001,1180.946792
212.96578,1001,1189.385119
175.370152,1001,1199.517646
249.958275,1001,1208.205718
225.237895,1001,1217.972447
252.814182,1001,1226.65853
267.572071,1001,1236.412247
252.452401,1001,1244.865584
250.662369,1001,1255.123815
271.991205,1001,1263.499577
260.101306,1001,1272.275483
278.003088,1001,1282.34255
279.291387,1001,1290.750475
-12.420139,1001,1300.972276
303.377792,1001,1309.43529
303.112572,1001,1319.565765
262.796744,1001,1328.317945
342.85855,1001,1338.172297
297.177969,1001,1346.938845
-39.833695,1001,1356.884128
309.793737,1001,1365.299119
206.734209,1001,1375.206412
11.985926,1001,1383.550488
265.405427,1001,1393.712703
311.753137,1001,1402.137694
288.604274,1001,1412.034946
318.288718,1001,1420.749368
293.152118,1001,1430.589839
310.348485,1001,1439.16447
69.817168,1001,1449.352702
341.907915,1001,1457.732817
384.622824,1001,1467.799352
362.153403,1001,1476.297268
346.890468,1001,1486.337336
376.454567,1001,1495.067136
387.487905,1001,1504.926483
292.180932,1001,1513.576621
401.317473,1001,1523.785819
392.937401,1001,1532.164266
392.671644,1001,1542.220613
370.521865,1001,1550.614337
402.627598,1001,1560.386582
395.504986,1001,1569.177997
404.411412,1001,1578.881083
381.78088,1001,1587.64729
420.035405,1001,1597.588804
404.752427,1001,1605.948838
403.764322,1001,1616.129087
423.2257,1001,1624.470151
402.60921,1001,1634.568202
447.160259,1001,1643.240312
430.27429,1001,1653.060866
434.325388,1001,1661.786399
424.53627,1001,1671.525961
432.584369,1001,1679.880613
283.36528,1001,1688.52255
427.828124,1001,1698.281374
409.920385,1001,1706.910592
449.556239,1001,1716.669184
454.861491,1001,1725.159322
469.265985,1001,1735.374795
463.3259,1001,1743.77504
453.50056,1001,1753.910188
460.633776,1001,1762.525044
310.092627,1001,1772.276281
462.432254,1001,1781.024003
480.936911,1001,1790.834476
462.652258,1001,1799.184543
308.89193,1001,1809.296346
460.619333,1001,1817.587198
477.002407,1001,1827.760736
287.577255,1001,1836.21209
475.126949,1001,1846.017199
464.640941,1001,1854.698505
482.665068,1001,1864.491543
461.152784,1001,1873.243325
320.204084,1001,1883.388214
481.683937,1001,1891.792206
501.673908,1001,1901.847321
479.166262,1001,1910.256944
497.283138,1001,1920.238151
349.154036,1001,1928.995232
307.889339,1001,1938.767665
496.083768,1001,1947.407341
494.692063,1001,1957.393673
362.874475,1001,1965.748855
494.053752,1001,1975.640549
363.024522,1001,1984.064516
361.105839,1001,1994.169841
509.673411,1001,2002.781245
482.36954,1001,2012.676152
508.801061,1001,2021.422803
375.86879,1001,2031.282416
512.079732,1001,2039.806829
485.409993,1001,2049.858824
365.799243,1001,2058.178254
510.29362,1001,2068.271252
521.354502,1001,2076.585006
501.56448,1001,2084.895904
514.344876,1001,2095.039778
516.494055,1001,2103.36832
504.37751,1001,2113.494089
508.125059,1001,2121.939471
338.814657,1001,2131.847619
521.420501,1001,2140.611525
518.282911,1001,2150.354166
518.311993,1001,2158.895913
518.439345,1001,2168.935705
533.93809,1001,2177.215602
531.924641,1001,2187.21017
513.933601,1001,2195.536941
517.63249,1001,2205.483906
525.045824,1001,2214.264543
525.399545,1001,2223.981484
431.623092,1001,2232.670049
521.299318,1001,2242.693399
521.702618,1001,2251.160605
509.100893,1001,2261.29929
540.407925,1001,2269.659555
543.011429,1001,2279.746121
531.210733,1001,2288.395311
401.653359,1001,2298.123387
385.194166,1001,2306.819737
527.373291,1001,2316.545251
402.814327,1001,2325.024397
512.102624,1001,2335.144838
398.78885,1001,2343.50786
507.101967,1001,2353.6248
493.602899,1001,2362.184837
400.050887,1001,2372.019326
389.58726,1001,2380.377439
530.81969,1001,2390.061276
407.437146,1001,2398.730966
436.767911,1001,2408.860171
425.781274,1001,2417.262105
409.934927,1001,2427.299178
563.207043,1001,2435.673226
