#{"t_start": 1762899642.2097068, "env_id": "None"}
r,l,t
4129.33186,1001,13.09627
4214.89612,1001,23.75481
4195.085792,1001,36.533056
4107.27386,1001,47.18243
4120.533503,1001,59.797166
3991.935796,1001,70.442263
4197.709785,1001,83.302671
4081.336478,1001,93.930223
4212.89828,1001,106.547282
4197.77958,1001,117.258199
4319.334729,1001,129.915143
4287.640791,1001,140.687569
4199.932704,1001,153.592476
4210.554475,1001,164.303523
4191.005666,1001,176.985061
4195.721443,1001,187.784945
4239.056677,1001,200.62192
4226.483978,1001,211.376505
4219.651039,1001,224.105884
4224.717866,1001,234.903832
4298.295646,1001,247.566394
4223.455923,1001,258.518126
4254.466151,1001,271.223555
4320.519288,1001,282.104805
4329.739924,1001,294.969294
4295.229311,1001,305.833048
4222.984492,1001,318.861284
4418.769661,1001,329.699198
4321.610445,1001,342.522822
4338.558304,1001,353.348126
4324.594419,1001,366.30393
4345.633543,1001,377.20366
4311.785001,1001,390.063493
4334.772991,1001,400.922427
4367.704118,1001,413.850234
4463.697907,1001,424.710862
4305.833422,1001,437.561668
4313.675271,1001,448.466104
4449.848353,1001,461.290976
4382.12803,1001,472.273502
4394.126893,1001,485.130179
4483.481659,1001,496.133686
4469.737059,1001,508.97283
4478.254878,1001,519.969795
4427.690872,1001,530.863738
4383.306483,1001,543.741658
4454.585632,1001,554.690194
4495.443381,1001,567.656832
4441.63297,1001,578.627433
4399.639821,1001,591.430046
4474.96229,1001,602.359291
4487.789148,1001,615.08681
4546.577041,1001,626.080431
4545.594268,1001,639.011525
4425.179322,1001,649.980722
4462.800373,1001,662.893604
4509.787548,1001,673.848327
4551.659059,1001,686.77212
4522.728972,1001,697.6421
4557.717932,1001,710.47983
4503.803471,1001,721.375187
4601.406696,1001,734.319519
4546.881131,1001,745.285984
4530.984325,1001,758.249627
4410.677798,1001,769.151784
4537.327514,1001,782.05126
4596.380916,1001,792.927018
4531.106761,1001,805.839854
4603.352497,1001,816.74192
4478.110047,1001,829.603273
4541.0724,1001,840.518577
4588.144562,1001,853.38412
4625.668248,1001,864.428833
4543.726385,1001,877.275961
4545.58704,1001,888.167069
4620.8185,1001,901.239043
4544.395757,1001,912.305478
4554.727222,1001,924.619225
4620.566105,1001,934.578392
4567.259948,1001,946.225825
4590.312162,1001,956.053057
4577.731126,1001,967.659005
4641.048047,1001,977.528921
4603.390313,1001,989.156751
4661.438084,1001,999.032876
4609.440261,1001,1010.668895
4689.722337,1001,1020.493018
4603.165909,1001,1032.256972
4663.85276,1001,1042.060927
4656.034146,1001,1051.921098
4654.470671,1001,1063.424492
4704.500622,1001,1073.270772
4658.634556,1001,1084.925155
4673.601425,1001,1094.763552
4661.237358,1001,1106.458288
4711.120579,1001,1116.279197
4738.545319,1001,1127.932774
4691.006836,1001,1137.800058
4709.762477,1001,1149.415959
4684.333934,1001,1159.232871
4667.220672,1001,1170.849841
4671.155652,1001,1180.668995
4711.762555,1001,1192.358338
4754.406135,1001,1202.16321
4690.175059,1001,1213.738639
4708.782522,1001,1223.597222
4704.176115,1001,1235.299972
4758.059952,1001,1245.124001
4679.227059,1001,1256.778127
4716.503113,1001,1266.663142
4767.150607,1001,1278.376695
4724.260449,1001,1288.222347
4666.17514,1001,1299.877892
4770.156815,1001,1309.667307
4722.153902,1001,1321.244256
4706.203169,1001,1331.148057
4751.363976,1001,1342.84117
4751.029438,1001,1352.590345
4788.527016,1001,1364.224442
4823.779562,1001,1374.120253
4756.579573,1001,1385.738997
4794.636488,1001,1395.687476
4776.726767,1001,1407.430292
4787.124287,1001,1417.344478
4733.17604,1001,1428.962757
4770.173357,1001,1438.773784
4755.382117,1001,1450.384239
4771.595002,1001,1460.245253
4736.513602,1001,1471.945591
4846.866763,1001,1481.766132
4822.562841,1001,1493.407223
4841.093734,1001,1503.1796
4859.735936,1001,1514.807028
4817.432726,1001,1525.24889
4826.764702,1001,1535.440053
4788.289646,1001,1547.837099
4723.598522,1001,1558.076593
4827.123049,1001,1570.179991
4767.685915,1001,1580.460416
4845.126396,1001,1592.582092
4751.276246,1001,1602.801284
4877.943738,1001,1614.943453
4827.446688,1001,1625.179678
4858.101865,1001,1637.441722
4861.232522,1001,1647.70083
4819.5788,1001,1659.737671
4828.867026,1001,1669.97792
4875.423418,1001,1682.162505
4858.440211,1001,1692.444244
4807.090203,1001,1704.598711
4821.211667,1001,1714.804068
4834.886021,1001,1726.887174
4814.573374,1001,1737.142842
4805.450381,1001,1749.327146
4813.951225,1001,1759.694474
4840.682199,1001,1771.700092
4761.361377,1001,1781.909379
4827.848481,1001,1793.96885
4768.737103,1001,1804.167484
4801.460609,1001,1816.233686
4856.19142,1001,1826.465092
4853.918678,1001,1838.594477
4859.352624,1001,1848.831684
4898.873354,1001,1861.036543
4874.104791,1001,1871.326063
4865.487753,1001,1883.434593
4866.911328,1001,1893.64098
4856.941416,1001,1905.758939
4893.652082,1001,1916.03967
4872.084488,1001,1928.201355
4866.082209,1001,1938.555241
4832.695175,1001,1950.732577
4872.086587,1001,1960.961704
4931.609628,1001,1973.049416
4930.659901,1001,1983.284136
4866.315583,1001,1995.4206
4798.834163,1001,2005.728289
4869.995107,1001,2017.769823
4881.06763,1001,2028.032255
4857.259372,1001,2038.262848
4867.522772,1001,2050.334667
4829.739078,1001,2060.648155
4902.813478,1001,2072.788562
4897.418828,1001,2083.011908
4845.906588,1001,2095.050133
4893.473905,1001,2105.300408
4903.632906,1001,2117.311208
4900.171191,1001,2127.293456
4896.414688,1001,2139.092254
4869.131492,1001,2149.081481
4950.501953,1001,2160.925681
4930.369344,1001,2170.920834
4908.383683,1001,2182.794035
4932.180414,1001,2192.834021
4915.158831,1001,2204.726882
4927.86678,1001,2214.692665
4908.123531,1001,2226.527504
4940.836667,1001,2236.517108
4917.201621,1001,2248.364013
4931.098406,1001,2258.34185
4919.481337,1001,2270.102272
4926.418514,1001,2280.067847
4922.341927,1001,2291.869856
4968.327474,1001,2301.922417
4934.60897,1001,2313.721257
4943.884812,1001,2323.717964
4913.391541,1001,2335.572237
4932.005695,1001,2345.55387
4941.723455,1001,2357.487367
4963.515618,1001,2367.476375
4953.148684,1001,2379.220783
4893.961721,1001,2389.235105
4930.836505,1001,2401.070301
4915.486205,1001,2411.070679
