#{"t_start": 1762961064.6666558, "env_id": "None"}
r,l,t
23177.970658,5001,59.122782
23298.544349,5001,117.624943
23523.15604,5001,174.853935
22137.512165,5001,232.247705
23509.299406,5001,315.45496
22543.41974,5001,375.451721
22353.469185,5001,441.070551
22467.011862,5001,503.486069
23350.485144,5001,568.808979
22516.225096,5001,665.590605
23803.455699,5001,724.435635
23519.94536,5001,781.729246
23583.684773,5001,839.70873
23734.775751,5001,923.928028
23417.176724,5001,981.340955
23989.706419,5001,1038.763629
23975.622558,5001,1100.291785
23304.649948,5001,1163.893184
24234.593719,5001,1252.866683
24158.548993,5001,1321.249597
23354.898149,5001,1384.326316
24466.550361,5001,1446.354569
24366.652435,5001,1537.018417
24374.152832,5001,1596.352226
24561.085735,5001,1653.68572
24429.742193,5001,1711.281014
24676.809237,5001,1768.299786
24649.668265,5001,1847.885989
24775.608028,5001,1903.994861
24889.280536,5001,1961.055091
24903.74898,5001,2017.58227
24867.96174,5001,2098.516171
24552.836882,5001,2155.736097
24412.195743,5001,2212.263966
24720.928345,5001,2269.207018
24888.02874,5001,2326.228746
24498.993101,5001,2406.27226
25022.909454,5001,2463.153721
25031.992926,5001,2520.358274
25032.798045,5001,2577.625614
