#{"t_start": 1762886749.7423146, "env_id": "None"}
r,l,t
-1062.670921,1001,10.556704
-1062.668252,1001,21.361995
-1051.0575,1001,32.82777
-1049.041061,1001,44.468299
-1050.836481,1001,56.288467
-1053.620458,1001,68.029626
-1007.997705,1001,79.795603
-1030.407569,1001,92.605366
-1036.789191,1001,104.96425
-1023.384584,1001,117.361851
-1020.729051,1001,129.799506
-984.371323,1001,142.219576
-973.75562,1001,154.546056
-973.679626,1001,166.843668
-929.62313,1001,178.219432
-928.905122,1001,188.625427
-922.035569,1001,200.714429
-950.208987,1001,213.182726
-913.015627,1001,224.163321
-902.677877,1001,234.87287
-906.559402,1001,245.378739
-905.242731,1001,255.881401
-875.797037,1001,266.458004
-878.036832,1001,276.970136
-837.830735,1001,287.387992
-844.892121,1001,297.933475
-817.516074,1001,308.430386
-800.559418,1001,318.905494
-825.786715,1001,329.366976
-784.532912,1001,339.772274
-760.323801,1001,350.241134
-785.85487,1001,360.671511
-767.03877,1001,370.762028
-668.226539,1001,380.49456
-696.418632,1001,390.238732
-676.640137,1001,399.917453
-675.904398,1001,409.630906
-643.979619,1001,419.349372
-593.981873,1001,429.117655
-649.400174,1001,438.83001
-560.109409,1001,448.556845
-620.150442,1001,458.285365
-559.302187,1001,468.046934
-492.004074,1001,477.802693
-537.126897,1001,486.20582
-536.262195,1001,495.826862
-503.921278,1001,505.463591
-483.238365,1001,515.136124
-447.254768,1001,524.767235
-431.936187,1001,534.341779
-407.781502,1001,543.964717
-439.125609,1001,553.569933
-412.661214,1001,563.235892
-397.773943,1001,572.848512
-369.040526,1001,582.46035
-328.476027,1001,592.026023
-350.908241,1001,601.588742
-223.652234,1001,611.169941
-276.453511,1001,620.657708
-206.097638,1001,630.299994
-235.752958,1001,639.839758
-135.70045,1001,649.377197
-110.33266,1001,658.887129
-30.326947,1001,668.425883
-143.559742,1001,677.963082
-37.416419,1001,687.464026
47.86562,1001,696.976633
62.470755,1001,706.434215
37.891202,1001,715.894117
-21.118854,1001,725.372489
-381.324594,1001,734.881558
38.115231,1001,744.377589
109.365126,1001,753.896165
-171.40643,1001,763.442986
120.800288,1001,772.91401
143.711697,1001,782.339147
97.87262,1001,791.763187
166.709419,1001,801.136914
167.344652,1001,810.538847
187.85863,1001,819.918117
214.806218,1001,829.32845
208.461875,1001,838.742954
184.589149,1001,848.120541
233.2194,1001,857.542629
253.397814,1001,866.925786
225.967877,1001,876.28306
253.284109,1001,885.742678
252.770689,1001,895.061823
256.371007,1001,904.466314
286.906495,1001,912.557477
244.180202,1001,921.914467
254.345462,1001,932.007149
243.734616,1001,941.679482
190.511541,1001,951.340298
318.074624,1001,960.994531
278.958554,1001,970.664446
280.01143,1001,980.352668
332.84099,1001,990.007707
336.692469,1001,999.65872
329.811918,1001,1009.341777
323.320435,1001,1018.950498
322.029467,1001,1028.614164
311.316457,1001,1038.278947
359.134818,1001,1047.933976
342.459817,1001,1057.542281
362.662897,1001,1067.126635
380.42723,1001,1076.799177
362.461446,1001,1086.367294
389.954711,1001,1096.056016
373.478317,1001,1105.708602
378.044578,1001,1115.302031
389.343005,1001,1124.916437
346.465996,1001,1134.572723
378.630437,1001,1144.216795
388.068888,1001,1153.895804
400.332697,1001,1163.478416
414.810059,1001,1173.030479
382.65336,1001,1182.595976
425.223768,1001,1192.203078
420.72417,1001,1201.850965
431.413268,1001,1211.512783
430.66749,1001,1221.183014
429.708691,1001,1230.9146
396.178029,1001,1240.545055
400.218935,1001,1250.167743
447.536913,1001,1259.867429
454.350269,1001,1269.484198
444.548739,1001,1279.054721
438.220981,1001,1288.631691
454.764629,1001,1298.258995
451.293193,1001,1307.913621
437.271207,1001,1317.537669
432.860387,1001,1327.186401
457.320241,1001,1335.457463
456.423469,1001,1345.057205
456.020896,1001,1354.698111
450.309867,1001,1364.327951
478.364221,1001,1373.883034
463.877499,1001,1383.493915
454.914935,1001,1393.176766
469.90233,1001,1402.862783
482.350405,1001,1412.525353
455.865285,1001,1422.099625
475.304991,1001,1431.666384
490.803774,1001,1441.324235
478.335502,1001,1450.995026
478.215219,1001,1460.682994
493.84425,1001,1470.344663
477.576671,1001,1479.981694
499.86715,1001,1489.626783
500.682733,1001,1499.320417
500.222358,1001,1509.032312
504.540715,1001,1518.608352
495.034513,1001,1528.112262
484.098488,1001,1537.632977
517.89113,1001,1547.16035
517.906692,1001,1556.633066
522.392062,1001,1566.118518
492.242296,1001,1575.626721
526.71243,1001,1585.076577
528.945472,1001,1594.484962
530.729165,1001,1603.93231
533.914902,1001,1613.515022
534.658838,1001,1622.994158
541.636448,1001,1632.532279
535.900635,1001,1642.015793
