#{"t_start": 1762823913.7661922, "env_id": "None"}
r,l,t
-13.701886,1,1.987023
-13.701886,1,1.991031
-13.701886,1,1.99462
-13.701886,1,1.998168
-13.701886,1,2.001702
-13.701886,1,2.005246
-13.701886,1,2.008749
-13.701886,1,2.012286
-13.701886,1,2.015822
-13.701886,1,2.019337
-13.701886,1,2.022894
-13.701886,1,2.026406
-13.701886,1,2.02994
-13.701886,1,2.033468
-13.701886,1,2.036981
-13.701886,1,2.040506
-13.701886,1,2.044033
-13.701886,1,2.047575
-13.701886,1,2.051124
-13.701886,1,2.054794
-13.701886,1,2.058451
-13.701886,1,2.062001
-13.701886,1,2.066012
-13.701886,1,2.069559
-13.701886,1,2.073059
-13.701886,1,2.076564
-13.701886,1,2.080088
-13.701886,1,2.083616
-13.701886,1,2.087134
-13.701886,1,2.090657
-13.701886,1,2.094271
-13.701886,1,2.097804
-13.701886,1,2.101335
-13.701886,1,2.104862
-13.701886,1,2.10837
-13.701886,1,2.111896
-13.701886,1,2.115472
-13.701886,1,2.119396
-13.701886,1,2.122918
-13.701886,1,2.126453
-13.701886,1,2.130001
-13.701886,1,2.133531
-13.701886,1,2.137063
-13.701886,1,2.140588
-13.701886,1,2.144126
-13.701886,1,2.147662
-13.701886,1,2.1512
-13.701886,1,2.154754
-13.701886,1,2.15829
-13.701886,1,2.161828
-13.701886,1,2.165678
-13.701886,1,2.169255
-13.701886,1,2.17279
-13.701886,1,2.176309
-13.701886,1,2.179837
-13.701886,1,2.18336
-13.701886,1,2.186876
-13.701886,1,2.190439
-13.701886,1,2.194
-13.701886,1,2.19751
-13.701886,1,2.201042
-13.701886,1,2.204616
-13.701886,1,2.208149
-13.701886,1,2.211682
-13.701886,1,2.215219
-13.701886,1,2.218753
-13.701886,1,2.222319
-13.701886,1,2.225861
-13.701886,1,2.229372
-13.701886,1,2.2329
-13.701886,1,2.236471
-13.701886,1,2.240009
-13.701886,1,2.243542
-13.701886,1,2.247055
-13.701886,1,2.250599
-13.701886,1,2.254133
-13.701886,1,2.257677
-13.701886,1,2.261214
-13.701886,1,2.264731
-13.701886,1,2.268678
-13.701886,1,2.272246
-13.701886,1,2.275752
-13.701886,1,2.279269
-13.701886,1,2.282793
-13.701886,1,2.28632
-13.701886,1,2.289866
-13.701886,1,2.293397
-13.701886,1,2.296926
-13.701886,1,2.300458
-13.701886,1,2.303994
-13.701886,1,2.307526
-13.701886,1,2.311063
-13.701886,1,2.314547
-13.701886,1,2.318084
-13.701886,1,2.321607
-13.701886,1,2.325119
-13.701886,1,2.328664
-13.701886,1,2.332192
-13.701886,1,2.335723
-13.701886,1,2.339233
-13.701886,1,2.342757
-13.701886,1,2.346291
-13.701886,1,2.349828
-13.701886,1,2.353368
-13.701886,1,2.356908
-13.701886,1,2.360437
-13.701886,1,2.363975
-13.701886,1,2.367938
-13.701886,1,2.371478
-13.701886,1,2.375053
-13.701886,1,2.378578
-13.701886,1,2.3821
-13.701886,1,2.385626
-13.701886,1,2.389137
-13.701886,1,2.39267
-13.701886,1,2.396199
-13.701886,1,2.399731
-13.701886,1,2.403259
-13.701886,1,2.406781
-13.701886,1,2.410311
-13.701886,1,2.413825
-13.701886,1,2.417368
-13.701886,1,2.420869
-13.701886,1,2.424422
-13.701886,1,2.427959
-13.701886,1,2.431483
-13.701886,1,2.435024
-13.701886,1,2.438544
-13.701886,1,2.442079
-13.701886,1,2.445612
-13.701886,1,2.449138
-13.701886,1,2.452629
-13.701886,1,2.456165
-13.701886,1,2.459681
-13.701886,1,2.463202
-13.701886,1,2.467063
-13.701886,1,2.470631
-13.701886,1,2.474159
-13.701886,1,2.477708
-13.701886,1,2.481231
-13.701886,1,2.484755
-13.701886,1,2.488266
-13.701886,1,2.491812
-13.701886,1,2.495346
-13.701886,1,2.498861
-13.701886,1,2.502394
-13.701886,1,2.505927
-13.701886,1,2.509467
-13.701886,1,2.512989
-13.701886,1,2.516526
-13.701886,1,2.520055
-13.701886,1,2.523604
-13.701886,1,2.527137
-13.701886,1,2.530675
-13.701886,1,2.534213
-13.701886,1,2.537728
-13.701886,1,2.541269
-13.701886,1,2.544823
-13.701886,1,2.54842
-13.701886,1,2.551987
-13.701886,1,2.555604
-13.701886,1,2.559263
-13.701886,1,2.562882
-13.701886,1,2.566486
-13.701886,1,2.570498
-13.701886,1,2.574087
-13.701886,1,2.57765
-13.701886,1,2.58122
-13.701886,1,2.584727
-13.701886,1,2.588271
-13.701886,1,2.591818
-13.701886,1,2.595357
-13.701886,1,2.598889
-13.701886,1,2.602437
-13.701886,1,2.605969
-13.701886,1,2.609503
-13.701886,1,2.613028
-13.701886,1,2.616576
-13.701886,1,2.620107
-13.701886,1,2.623653
-13.701886,1,2.627313
-13.701886,1,2.631526
-13.701886,1,2.635145
-13.701886,1,2.638701
-13.701886,1,2.642227
-13.701886,1,2.645763
-13.701886,1,2.649293
-13.701886,1,2.652766
-13.701886,1,2.65631
-13.701886,1,2.659864
-13.701886,1,2.663407
-13.701886,1,2.666948
-13.701886,1,2.670886
-13.701886,1,2.674408
-13.701886,1,2.677959
-13.701886,1,2.681536
-13.701886,1,2.685041
-13.701886,1,2.688584
-13.701886,1,2.692125
-13.701886,1,2.69567
-13.701886,1,2.699215
-13.701886,1,2.702757
